OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Shasta_Oki_15	K044952_?_4-11-15_146_2015	K031242_M_12-10-13_NB_2013	K031178_F_12-3-13_NB_2013	Shasta_Oki_12_13_14	2013	0.829986	0.067	11.023988	0.042184	0.513931	C_Se_Si	240	198	0	6	1	2	1	0	0	3	"Oki102457_67,Oki106172_60,Oki_nips_159"
Shasta_Oki_15	K044283_?_5-22-15_151_2015	K031163_M_12-3-13_NB_2013	K030433_F_11-13-13_B_2013	Shasta_Oki_12_13_14	2013	0.830165	0.068	9.102373	0.006405	0.490099	C_U_U	111	87	0	1	1	1	0	1	1	4	"Oki105132_169,Oki130295_48,Oki_HGFA_311,Oki111681_407"
Shasta_Oki_15	K045577_?_4-25-15_150_2015	K029995_M_11-4-13_B_2013	K029966_F_10-29-13_B_2013	Shasta_Oki_12_13_14	2013	0.83034	0.069	14.450928	0.575502	0.575502	C_Se_Se	187	122	0	30	0	0	0	0	0	1	Oki_txnip_35
Shasta_Oki_15	K044984_?_4-13-15_151_2015	K030422_M_11-21-13_B_2013	K030619_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.830509	0.07	13.571954	0.360168	0.360168	C_Se_Se	282	150	0	8	0	0	0	0	0	2	"Oki128757_232,Oki_HGFA_311"
Shasta_Oki_15	K044484_?_4-6-15_158_2015	K029933_M_10-28-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.830674	0.071	14.429407	0.570237	0.570237	C_Se_Se	52	53	0	8	3	0	1	0	0	2	"Oki116362_411,Oki118175_264"
Shasta_Oki_15	K044780_?_4-9-15_137_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.842373	0.065	13.422511	0.326495	0.38481	C_U_U	210	163	0	46	0	4	1	0	1	1	Oki106172_60
Shasta_Oki_15	K044727_?_4-9-15_146_2015	K035735_M_1-21-14_NB_2013	K029967_F_11-4-13_B_2013	Shasta_Oki_12_13_14	2013	0.855536	0.065	15.203341	0.742069	0.742069	C_Se_Se	171	102	1	238	1	2	0	0	1	1	Oki114448_101
Shasta_Oki_15	K045431_?_4-20-15_137_2015	K031221_M_12-10-13_NB_2013	K030399_F_11-21-13_B_2013	Shasta_Oki_12_13_14	2013	0.864541	0.078	12.923522	0.227397	0.227397	C_Se_Se	186	147	0	24	0	4	0	0	1	2	"Oki_rpo2j_235,Oki_hsc713_56"
Shasta_Oki_15	K044649_?_4-8-15_160_2015	K030281_M_11-8-13_NB_2013	K030154_F_11-6-13_NB_2013	Shasta_Oki_12_13_14	2013	0.864837	0.077	14.920235	0.684309	0.684309	C_Se_Se	52	43	0	20	0	0	0	1	1	2	"Oki130524_184,Oki_afp4_10"
Shasta_Oki_15	K044499_?_4-6-15_149_2015	K031186_M_12-3-13_NB_2013	K030210_F_11-13-13_B_2013	Shasta_Oki_12_13_14	2013	0.876524	0.077	12.755285	0.199199	0.213203	C_U_U	66	55	0	15	1	2	0	0	0	2	"Oki96158_278,Oki101770_525"
