NMFS_ID,PCRloc'n,DNAloc'n,rBOXloc,PIT/Tag#,SEX(GHpsi),SEX,PIT_ID,Pop_ID,Status,FishKey_Reach,Remarks,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,HATCHERY,Strain/Mark,Analysis,CrossRef,LENGTH,WEIGHT,Age,SpawnWinter,BirthYear,Notes,Hatchery.Status,STD_Date,CollectionDate,Collection Year,Lifestage,SampleID,Panel,Cross_Ref
K021144,KFW/3H,K310/3H,,1904,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007, Also picked and extracted under NMFS ID#K022544.,?,,11/5/10,2010,ADULT,4,TMv1,
K021145,KFW/4A,K310/4A,,1909,K021145 and K021168 look like diff samples!,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007, Also picked and extracted as NMFS ID#K021168 and K022571.,?,,11/5/10,2010,ADULT,5,TMv1,
K021146,KFW/4B,K310/4B,,1907,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,730,,,W1011,2007, Also picked and extracted as NMFS ID#K022569.,?,,11/5/10,2010,ADULT,6,TMv1,
K021147,KFW/4C,K310/4C,,1915,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,70,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,7,TMv1,
K021148,KFW/4D,K310/4D,,1902,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007, Also picked and extracted as NMFS ID#K022540.,?,,11/5/10,2010,ADULT,8,TMv1,
K021149,KFW/4E,K310/4E,,1905,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,670,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,9,TMv1,
K021150,KFW/4F,K310/4F,,1152,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007, Also picked and extracted as NMFS ID#K022541.,?,,11/5/10,2010,ADULT,10,TMv1,
K021151,KFW/4G,K310/4G,,1383,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,740,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,11,TMv1,
K021152,KFW/4H,K310/4H,,1906,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,12,TMv1,
K021153,KFW/5A,K310/5A,,1912,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,510,,,W1011,2007, Also picked and extracted as NMFS ID#K022518.,?,,11/5/10,2010,ADULT,13,TMv1,
K021154,KFW/5B,K310/5B,,1923,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,750,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,14,TMv1,
K021155,KFW/5C,K310/5C,,1352,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,15,TMv1,
K021156,KFW/5D,K310/5D,,1920,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,Unmarked,,,720,,,W1011,2007,Unmarked. ,?,,11/5/10,2010,ADULT,16,TMv1,
K021157,KFW/5E,K310/5E,,1918,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,480,,,W1011,2007,"Length given in cm, converted to mm.",?,,11/5/10,2010,ADULT,17,TMv1,
K021158,KFW/5F,K310/5F,,1255,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,,?,,11/5/10,2010,ADULT,18,TMv1,
K021159,KFW/5G,K310/5G,,1268,,F,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007, Also picked and extracted as NMFS ID#K022555.,?,,11/5/10,2010,ADULT,19,TMv1,
K021160,KFW/5H,K310/5H,,1273,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,760,,,W1011,2007, Also picked and extracted as NMFS ID#K022565.,?,,11/5/10,2010,ADULT,20,TMv1,
K021161,KFW/6A,K310/6A,,1253,,M,,,,,,Klamath River,,,Klamath River ,Iron Gate Hatchery,LM clipped.,,,670,,,W1011,2007,,?,,11/5/10,2010,ADULT,21,TMv1,
